Title,Genre_1,Genre_2,Genre_3,Num_Tracks,Avg_Valence,Avg_Danceability,Avg_Energy,Avg_Key,Avg_Loudness,Avg_Mode,Avg_Speechiness,Avg_Acousticness,Avg_Instrumentallness,Avg_Liveness,Avg_Tempo,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Black Permanent,Drama,N/A,N/A,1,0.45,0.66,0.327,9,-10.069,1,0.0311,0.899,3.18E-05,0.0867,126.847,Half as Much ,Hank Williams ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bodyguard,Action,Drama,Music,7,0.512285714,0.523857143,0.560857143,4.571428571,-10.06157143,0.857142857,0.038871429,0.450522286,0.002048459,0.132385714,115.0042857,I Have Nothing ,Whitney Houston ,Someday (I'm Coming Back) ,Lisa Stansfield ,Run to You ,Whitney Houston ,(What's So Funny 'Bout) Peace. Love and Understanding ,Curtis Stigers ,I Will Always Love You ,Whitney Houston ,Trust in Me ,Joe Cocker featuring Sass Jordan ,Queen of the Night ,Whitney Houston ,I'm Every Woman ,Whitney Houston ,Even If My Heart Would Break ,Kenny G and Aaron Neville ,Jesus Loves Me ,Whitney Houston and Michele Lamar Richards ,It's Gonna Be a Lovely Day ,The S.O.U.L. S.Y.S.T.E.M.. Recording Artist Michelle Visage ,Melissa ,The Allman Brothers Band (as The Allman Brothers) ,I Will Always Love You ,John Doe ,Walk Away Renee ,The Left Banke ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boomerang,Comedy,Drama,Romance,8,0.63575,0.681125,0.614375,4.125,-11.28175,0.75,0.11085,0.1712775,0.000264846,0.2924,112.287,Tonight Is Right ,Keith Washington ,7 Day Weekend ,Grace Jones ,Atomic Dog ,George Clinton ,End of the Road ,Boyz II Men (as Boyz II Men) ,String Quartet in G. Opus 54. No. 1 - Third Movement ,The Aeolian Quartet ,It's Gonna Be Alright ,Aaron Hall Featuring Charlie Wilson ,Feels Like Heaven ,Kenny Vaughan & The Art of Love,Reversal of a Dog ,The LaFace Cartel (Damian Dame. Highland Place Mobsters. TLC and Toni Braxton) ,Don't Wanna Love You ,Shanice (as Shanice Wilson) ,Bewildered ,James Brown ,Love Shoulda Brought You Home ,Toni Braxton ,There You Go ,Johnny Gill ,Man's Final Frontier ,Arrested Development ,Give U My Heart ,Toni Braxton & Kenneth 'Babyface' Edmonds (as Babyface) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hassel - Botgörarna,Crime,Thriller,N/A,4,0.57125,0.4545,0.916,3.75,-6.28475,0.5,0.0681,0.01115,0.049555,0.7885,120.137,Sex kvinnor på ett tåg ,Wilmer X,Möt mej i din djungel ,Wilmer X,Hong Kong pop ,Wilmer X,Blod eller guld ,Wilmer X,Kör dej död ,Wilmer X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Alive,Comedy,Fantasy,Horror,1,0.863,0.621,0.514,5,-10.147,1,0.0329,0.978,0.964,0.156,117.126,The Stars and Moon ,Kate Swadling ,29 Steps ,Tony Backhouse copyright central,Maori Battalion ,the Maori Battalion ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breaking the Rules,Comedy,Drama,N/A,3,0.800333333,0.631,0.633666667,3.333333333,-11.89166667,1,0.083066667,0.667,1.81E-05,0.227333333,126.3363333,Crazy Little Thing Called Love ,Queen ,Gravity ,Hidden Faces ,I Can't Get You Out Of My Mind ,Hidden Faces ,You've Really Got A Hold On Me ,The Bobs,Can't Stop Thinking Of You ,Hidden Faces ,Yo Yo Mama ,James Ide ,Troubled Soul ,Nicole Jones,Johnny's Room ,The Bobs,Party ,Brian Steagall,Surf City ,Jan & Dean,If You Don't Know Me By Now ,Hidden Faces,Hurt So Bad (To Love) ,Hidden Faces ,Boy Oh Boy ,The Bobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nine Inch Nails: Broken,Short,Music,N/A,5,0.17298,0.4766,0.61404,7.2,-15.9392,0.6,0.05844,0.16272674,0.67,0.4338,120.9666,Pinion ,Nine Inch Nails,Wish ,Nine Inch Nails,Help Me I Am in Hell ,Nine Inch Nails,Happiness in Slavery ,Nine Inch Nails,Gave Up ,Nine Inch Nails,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffy the Vampire Slayer,Action,Comedy,Fantasy,8,0.471,0.470375,0.756625,5.75,-8.053,0.875,0.0449625,0.106810606,0.114656491,0.1866625,125.094625,Keep It Coming (Dance 'Till You Can't Dance No More) ,C+C Music Factory (as C & C Music Factory) featuring Q-Unique and Deborah Cooper ,In the Wind ,War Babies ,Man Smart. Woman Smarter ,Dream Warriors ,I Fought the Law ,Mary's Danish ,I Ain't Gonna Eat Out My Heart Anymore ,Divinyls (as Divinyls) ,Feelings ,Kristy Swanson,Zap City ,The Cult ,Silent City ,Matthew Sweet ,Inner Mind ,Eon ,Little Heaven ,Toad the Wet Sprocket ,Party with the Animals ,Ozzy Osbourne ,Light Comes Out of Black ,Rob Halford ,We Close Our Eyes ,Susanna Hoffs ,Everybody Hurts ,R.E.M. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caged Fear,Action,Thriller,N/A,1,0.486,0.472,0.946,2,-4.591,1,0.145,0.0372,0,0.352,177.489,Cherry Pie ,Warrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canvas,Crime,N/A,N/A,1,0.354,0.33,0.349,4,-10.446,1,0.0356,0.973,0.0608,0.338,67.882,Everybody's Watching You ,The Night Visitors,Same Darn Thing ,Mamamu Soul,Cool It ,Jerry Brown,We're So Happy ,Noel Jones,Each Man Kills The Things he Loves ,Brian Engel,Symphony No. 41 in C Major ,the Prazsky Komorní Orchestr (as Prague Chamber Orchestra),Torna A Surriento ,Beniamino Gigli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captain Ron,Adventure,Comedy,N/A,5,0.7658,0.6412,0.5968,5.6,-11.2054,0.8,0.11098,0.4199866,0.102614882,0.0953,125.6938,ZOMBIES FROM HELL ,T-Ride ,STIR IT UP ,Bob Marley & The Wailers ,CAN'T GET BACK ,The Poorboys ,PAPACITO ,Blinky & The Roadmasters ,CAROLINE ,Blinky & The Roadmasters ,BESITO EN LA BOQUITA ,WAO,JAMMIN' ,Bob Marley & The Wailers ,?QUIEN PUSO EL BOMP? ,Enrique Guzman Y Los Teen Tops ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casablanca revisitada,Documentary,Short,N/A,1,0.0401,0.303,0.0861,10,-20.265,1,0.0336,0.969,0.946,0.109,135.452,Watermark ,Enya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chopper Chicks in Zombietown,Comedy,Horror,N/A,4,0.626,0.57575,0.72725,5.75,-7.18725,1,0.046,0.220625,7.94E-05,0.18465,125.266,Underclass ,Alex Chilton ,Searching for Satisfaction ,John Branner ,Good Guys and Bad Guys ,Camper Van Beethoven ,Where Fools Are King ,Jeffrey Steele ,Do what your big mama told you ,Catherine Carler ,Price to Pay ,Lucinda Williams ,Cuban Rebel Girl ,Tav Falco's Panther Burns ,Back in the Red ,The Celibate Rifles ,Today Could Be the Day ,The dB's ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class Act,Comedy,N/A,N/A,16,0.7170625,0.7249375,0.649125,6.25,-10.6325625,0.625,0.11246875,0.145919375,0.015408147,0.26780625,121.838625,A Class Act I ,B Angie B ,Full Term Love ,Monie Love ,I Wanna Love You ,Jade ,Anything You Ask ,Tara Kemp ,Blade's Theme ,Vassal Benford,A Class Act II (Rap Version) ,Penthouse Players ,Get It Right ,Kid 'N Play Kid 'N Play Record Exclusively for Select Records,Set It Off Troop ,Lord Finesse ,That Body ,Cold Premiere ,Better Late Than Never ,Lisa Taylor ,Forever My Lady ,Jodeci ,Let's Talk About Sex ,Salt-N-Pepa ,Lisa. Lisa (The One I Adore) ,Pauly Shore ,Turn It Up ,Oaktown's 3.5.7 ,Libera Me - Funeral Responsory ,Schola Hungarica ,It's a Shame (My Sister) ,Monie Love ,Jeepers Creepers ,Louis Armstrong ,Everybody Everybody ,Black Box ,Boomin' System ,LL Cool J (as L.L. Cool J) ,Housecall ,Shabba Ranks ,U Can't Touch This ,M.C. Hammer (as Hammer) ,Moments in Love ,The Art of Noise ,I Found Lovin' ,The Fatback Band ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Bird in the Hand...,Crime,Drama,Mystery,1,0.567,0.409,0.435,2,-9.399,1,0.0453,0.907,7.17E-06,0.0559,78.136,Rags To Riches ,Tony Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cool World,Animation,Comedy,Fantasy,5,0.6152,0.5512,0.8668,5.2,-7.8274,0.8,0.0702,0.0093718,0.169876,0.23754,119.352,The Devil Does Drugs ,My Life With The Thrill Kill Kult ,The Witch ,The Cult ,Holli's Groove ,My Life With The Thrill Kill Kult ,Sex on Wheelz ,My Life With The Thrill Kill Kult ,Do That Thang ,Da Juice ,Papua New Guinea ,The Future Sound of London ,Her Sassy Kiss ,My Life With The Thrill Kill Kult ,Sedusa ,My Life With The Thrill Kill Kult ,Let's Make Love ,Kim Basinger and Frank Sinatra Jr.,Disappointed ,Electronic ,That Old Black Magic ,Frank Sinatra Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coyote,Drama,Romance,N/A,2,0.3925,0.634,0.6145,4.5,-12.8555,0.5,0.05435,0.00509,0.265,0.05955,113.5285,Opus XXX ,French B,Abandonnez-vous ,French B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrissCross,Crime,Drama,N/A,9,0.597111111,0.551111111,0.558122222,4.222222222,-12.43,0.777777778,0.0532,0.332366667,0.191644456,0.230111111,113.2413333,Oh Well ,Fleetwood Mac ,Judy in Disguise ,John Fred and His Playboy Band ,The Child That I Was ,Angie Giles ,Sweet Little Angel ,B.B. King ,Mustang Sally ,Wilson Pickett ,Gimme a Little Sign ,Brenton Wood ,Wild Wild Women ,Johnnie Young (as Johnny Young) ,Magic Carpet Ride ,Steppenwolf ,Jenny Takes a Ride ,Mitch Ryder ,Albatross ,Fleetwood Mac ,Journey to the Center of Your Mind ,The Amboy Dukes ,Psychotic Reaction ,Count Five (as The Count 5) ,Creeque Alley ,The Mamas and the Papas ,Rock Me ,Steppenwolf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Black Bomber,Drama,N/A,N/A,2,0.502,0.38,0.907,8,-4.9745,1,0.078,0.04259,0.18295,0.124,121.697,Zombi ,Anica Dobra,Svecane bele kosulje ,Anica Dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing the Bridge,Comedy,Drama,N/A,9,0.410733333,0.471333333,0.486333333,5.444444444,-11.16633333,0.666666667,0.040733333,0.469210333,0.067567389,0.102211111,114.8184444,Smoke on the Water ,Peter Himmelman ,I'd Love to Change the World ,Ten Years After ,Fortunate Son ,Creedence Clearwater Revival ,These Days ,Jackson Browne ,Love Song ,Elton John ,Bad Company ,Bad Company ,Locomotive Breath ,Jethro Tull ,The Shadow of Your Smile ,Tony Bennett ,Wild Thing ,Jimi Hendrix ,From the Beginning ,Emerson Lake and Palmer (as Emerson Lake & Palmer) ,'Til It Shines ,Bob Seger & The Silver Bullet Band ,Impermanent Things ,Peter Himmelman ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
