"","Drama","Action","Thriller","Comedy","Documentary","Crime","Music","Horror","Family","Fantasy","Biography","Sport","Adventure","Musical","Animation","Short","Sci-Fi","Mystery","Romance","Western","History","Adult","Game-Show","News","Reality-TV","War"
"Drama",0,8.16108205738132,10.6414901331948,3.48135942543041,0.0410570907037783,1.56982439434324,5.58319414580109,52.6111750788858,2.0586411452069,2.58864052897842,1.21360110095218,21.0940735510381,1.95945314105811,7.09510490797712,6.64261959821804,0.438266149972183,20.1153730079433,0.300713943378613,0.0206334533960983,53.6648237510112,15.2975413600692,2.93448178991696,6.05012103774847,367.33874687707,586.780996607838,19.2260416996342
"Action",8.16108205738132,0,0.828969989460378,1.09073694289227,9.18776765889522,2.6146862494274,0.918807560763653,20.8892843360529,2.37685466370113,15.8946489179508,8.51965388515384,3.52440435325102,2.2436797082725,28.0664385125666,0.809455305007856,11.1393481326338,3.23551830574186,11.4609571558591,8.10673783714832,100.023815752233,45.6349587923516,5.21343162213009,20.4359399597102,473.744674658416,700.032860438458,6.93054137383253
"Thriller",10.6414901331948,0.828969989460378,0,2.53229642367791,11.777052337659,4.5981126645817,0.98308967373238,15.9868750865531,3.37927125804062,21.0924660808941,9.1762504693818,1.92566655395692,4.0949583752799,34.3010517120956,0.542522722044662,13.2923978975597,1.5671556897784,14.3652053347166,10.7157671060332,111.489505835206,50.140436240457,4.84143217343955,20.0094427338737,500.295021527542,740.013478003469,3.03380696694109
"Comedy",3.48135942543041,1.09073694289227,2.53229642367791,0,4.19332155655037,0.445588743331546,0.614606854243825,30.1933689596868,0.490833651493315,9.17061108769653,3.96180020009703,7.82367174970509,0.239635313670835,18.8294878366116,0.997352710871062,5.73356541848848,7.35757681999238,5.77691288012134,3.38921954548055,81.936285652921,33.3480803659688,2.84512255889714,13.4462346043053,433.101243146266,658.895249129505,9.36425796614811
"Documentary",0.0410570907037783,9.18776765889522,11.777052337659,4.19332155655037,0,2.04136618428269,6.44226815555271,55.1150004707069,2.5625212081189,2.35013501856803,1.35934174991058,22.7267766395748,2.49748266076725,6.34943807400527,7.56323969488992,0.279151641082785,21.6869362710099,0.150144127184188,0.0809707970409786,51.3088743002456,13.9250720155016,3.27525592905412,5.7193757114011,361.597014546914,580.016033980139,20.5639147509758
"Crime",1.56982439434324,2.6146862494274,4.5981126645817,0.445588743331546,2.04136618428269,0,1.72790294272915,37.2927280865937,0.319870536597027,6.06095383030491,2.66856731301823,11.6678495598439,0.0675436534231843,13.8866031024069,2.31523292290976,3.21119524384997,11.0093430368232,3.15426903996907,1.53677187478658,71.1306333356972,26.5798134935886,2.27490924114376,10.8215877960107,409.548857719087,630.113935893549,12.5344321577328
"Music",5.58319414580109,0.918807560763653,0.98308967373238,0.614606854243825,6.44226815555271,1.72790294272915,0,24.0986235780386,0.977488922302386,13.6070237603477,4.52475001706918,5.1553056478267,1.32866288943982,24.6408413698916,0.0879010631049071,7.80668252697949,4.69186086005267,8.40511080977335,5.56463301664072,93.3730976386534,38.4383113683025,2.43343869093491,13.6060276286886,459.370953004557,696.7854996384,5.24859095010176
"Horror",52.6111750788858,20.8892843360529,15.9868750865531,30.1933689596868,55.1150004707069,37.2927280865937,24.0986235780386,0,33.9798359801479,72.4438770419934,47.5428276002303,7.3290866056444,35.5505440567205,96.5647979591589,21.9264831224284,58.1609630881459,7.79337535785222,60.579587403635,52.6727914864579,211.366139187773,121.900687801086,36.3390001434195,65.6525824021796,690.372573823252,958.118763181851,11.9228186782514
"Family",2.0586411452069,2.37685466370113,3.37927125804062,0.490833651493315,2.5625212081189,0.319870536597027,0.977488922302386,33.9798359801479,0,8.16988655579389,2.07698150285125,10.1093034300213,0.321146260057371,16.4344651148441,1.36548137871263,3.40798706691635,9.39743713484861,3.87182265538377,2.110958981268,76.3791868597955,27.8600588978775,1.1035527233684,9.53711598791566,423.34105212605,651.648464310757,9.45533191040895
"Fantasy",2.58864052897842,15.8946489179508,21.0924660808941,9.17061108769653,2.35013501856803,6.06095383030491,13.6070237603477,72.4438770419934,8.16988655579389,0,6.32540244043004,33.7821948701561,6.61295973250353,2.09228785274342,15.4654681981754,3.35364157689727,32.8531412830194,1.81416099875562,2.34434564800581,36.9575728404345,11.5656319327048,10.9445748745504,11.5279747769836,316.417633154017,518.245186454801,34.4079636433239
"Biography",1.21360110095218,8.51965388515384,9.1762504693818,3.96180020009703,1.35934174991058,2.66856731301823,4.52475001706918,47.5428276002303,2.07698150285125,6.32540244043004,0,19.0040647626814,2.7754657298321,11.9172661334679,5.40472616713572,1.37587897811018,17.9914104944438,1.89859439207035,1.29090704507855,63.169118469754,17.7699070932675,1.47195370006125,3.12531222725647,388.530625543168,626.83451697512,14.0552641593374
"Sport",21.0940735510381,3.52440435325102,1.92566655395692,7.82367174970509,22.7267766395748,11.6678495598439,5.1553056478267,7.3290866056444,10.1093034300213,33.7821948701561,19.0040647626814,0,10.6875643346389,50.8591901363773,4.2450695448199,25.1290914377458,0.0412772959853216,26.3114535800348,21.0661021461525,140.249549792547,71.3610467015903,12.6983755716081,33.2654549294286,556.315122926248,801.518602233429,3.59311914882066
"Adventure",1.95945314105811,2.2436797082725,4.0949583752799,0.239635313670835,2.49748266076725,0.0675436534231843,1.32866288943982,35.5505440567205,0.321146260057371,6.61295973250353,2.7754657298321,10.6875643346389,0,15.0049717595047,1.91142543820852,3.83754422081297,10.0971578989557,3.73186917108585,1.87741445233092,73.6402347581901,28.1713320676195,2.44617073654144,11.2515514825903,414.207238100934,637.438452648636,11.6670609520205
"Musical",7.09510490797712,28.0664385125666,34.3010517120956,18.8294878366116,6.34943807400527,13.8866031024069,24.6408413698916,96.5647979591589,16.4344651148441,2.09228785274342,11.9172661334679,50.8591901363773,15.0049717595047,0,26.9346567284074,6.43173992675188,49.5632881032131,4.83684275812436,6.96634365280324,22.2796795962633,5.29950413142435,18.3813766033327,14.205870810756,274.455893909056,466.686993885972,49.463319432268
"Animation",6.64261959821804,0.809455305007856,0.542522722044662,0.997352710871062,7.56323969488992,2.31523292290976,0.0879010631049071,21.9264831224284,1.36548137871263,15.4654681981754,5.40472616713572,4.2450695448199,1.91142543820852,26.9346567284074,0,8.86607892285383,3.78068497314696,9.67145753462768,6.67146458990744,97.7749217907382,40.9315503057782,2.6800173174181,14.8403957253611,470.132117593208,708.576004897152,4.3206060178308
"Short",0.438266149972183,11.1393481326338,13.2923978975597,5.73356541848848,0.279151641082785,3.21119524384997,7.80668252697949,58.1609630881459,3.40798706691635,3.35364157689727,1.37587897811018,25.1290914377458,3.83754422081297,6.43173992675188,8.86607892285383,0,23.9193613926371,0.268378834668589,0.602830544332941,49.8899427550598,11.8852258314791,3.17631738571737,4.35451841736764,359.468621295129,579.829647491891,21.338993921096
"Sci-Fi",20.1153730079433,3.23551830574186,1.5671556897784,7.35757681999238,21.6869362710099,11.0093430368232,4.69186086005267,7.79337535785222,9.39743713484861,32.8531412830194,17.9914104944438,0.0412772959853216,10.0971578989557,49.5632881032131,3.78068497314696,23.9193613926371,0,25.1823136429196,20.1300836116056,138.043380972081,69.326235263128,11.6685719224033,31.724317333955,552.824542165922,798.009403850748,3.17696622158209
"Mystery",0.300713943378613,11.4609571558591,14.3652053347166,5.77691288012134,0.150144127184188,3.15426903996907,8.40511080977335,60.579587403635,3.87182265538377,1.81416099875562,1.89859439207035,26.3114535800348,3.73186917108585,4.83684275812436,9.67145753462768,0.268378834668589,25.1823136429196,0,0.348593887572719,46.4683828641423,11.4697714827377,4.4240732515869,5.49993150742164,348.672321148323,565.021992213532,23.7434044089478
"Romance",0.0206334533960983,8.10673783714832,10.7157671060332,3.38921954548055,0.0809707970409786,1.53677187478658,5.56463301664072,52.6727914864579,2.110958981268,2.34434564800581,1.29090704507855,21.0661021461525,1.87741445233092,6.96634365280324,6.67146458990744,0.602830544332941,20.1300836116056,0.348593887572719,0,53.4826659150198,15.5458647719943,3.21858093387301,6.35024775124871,366.055967532627,585.396112894913,19.4635474844438
"Western",53.6648237510112,100.023815752233,111.489505835206,81.936285652921,51.3088743002456,71.1306333356972,93.3730976386534,211.366139187773,76.3791868597955,36.9575728404345,63.169118469754,140.249549792547,73.6402347581901,22.2796795962633,97.7749217907382,49.8899427550598,138.043380972081,46.4683828641423,53.4826659150198,0,17.4592807575829,77.8529843129764,57.6309686424954,144.126619701942,300.378649725116,135.805018233115
"History",15.2975413600692,45.6349587923516,50.140436240457,33.3480803659688,13.9250720155016,26.5798134935886,38.4383113683025,121.900687801086,27.8600588978775,11.5656319327048,17.7699070932675,71.3610467015903,28.1713320676195,5.29950413142435,40.9315503057782,11.8852258314791,69.326235263128,11.4697714827377,15.5458647719943,17.4592807575829,0,25.5569411828095,12.6532494568013,253.086064620301,461.251265181546,61.9557351517688
